Label1,Label2,Label3,Year,Label4,E1,E2,E3,Location,Country,URL
878360343,20181009,201810,2018,2018.7644,,,,"Edinburgh, Edinburgh, City of, United Kingdom",UK,https://www.edinburghnews.scotsman.com/business/edinburgh-hosts-ey-sponsored-event-support-female-stem-students-careers-646590
878360344,20181009,201810,2018,2018.7644,,,,Jersey,JE,https://jerseyeveningpost.com/news/2019/10/09/penniless-islander-thanks-all-who-have-provided-support/
878360345,20181009,201810,2018,2018.7644,BUS,INVESTOR,,"City Of London, London, City of, United Kingdom",UK,https://www.bigissue.com/latest/mapping-the-future-of-ethical-investing/
878360346,20181009,201810,2018,2018.7644,ERI,ERITREA,ERI,"Oromo, Amara, Ethiopia",ET,https://af.reuters.com/article/topNews/idAFKBN1WO11Z-OZATP
878360347,20181009,201810,2018,2018.7644,ERI,ERITREA,ERI,Eritrea,ER,https://af.reuters.com/article/topNews/idAFKBN1WO11Z-OZATP
878360348,20181009,201810,2018,2018.7644,GBR,UNITED KINGDOM,GBR,"Nevada, United States",US,https://www.heraldscotland.com/news/17956527.storm-irn-bru-2-000-bid-bring-back-original-recipe/
878360349,20181009,201810,2018,2018.7644,IGOUNODEVWBK,WORLD BANK,,"Accra, Greater Accra, Ghana",GH,https://allafrica.com/stories/201910090250.html
878360350,20181009,201810,2018,2018.7644,IGOUNOKID,UNICEF,,Australia,AS,https://thenextweb.com/hardfork/2019/10/09/ethereum-foundation-first-donation-unicef-cryptocurrency/
878360351,20181009,201810,2018,2018.7644,IRL,CORK,IRL,Jersey,JE,https://jerseyeveningpost.com/news/2019/10/09/penniless-islander-thanks-all-who-have-provided-support/
878360352,20181009,201810,2018,2018.7644,JUD,ATTORNEY,,"Tennessee, United States",US,https://www.dailymail.co.uk/news/article-7553625/Kim-Kardashians-support-Making-Murderer-convict-Brendan-Dassey-make-no-difference.html
878360353,20181009,201810,2018,2018.7644,JUD,SUPREME COURT,,"California, United States",US,https://www.indiatimes.com/technology/news/government-wants-you-to-pollute-less-with-green-fireworks-on-diwali-and-why-it-s-a-bad-idea-377424.html
878360354,20181009,201810,2018,2018.7644,JUD,ATTORNEY,,"Tennessee, United States",US,https://www.dailymail.co.uk/news/article-7553625/Kim-Kardashians-support-Making-Murderer-convict-Brendan-Dassey-make-no-difference.html
878360355,20181009,201810,2018,2018.7644,KEN,NAIROBI,KEN,"Nairobi, Nairobi Area, Kenya",KE,https://www.businessdailyafrica.com/economy/Russia-courts-Kenya-for-new-business--trade-deals/3946234-5304344-njw0b3/
878360356,20181009,201810,2018,2018.7644,KEN,KENYA,KEN,"Moscow, Moskva, Russia",RS,https://www.businessdailyafrica.com/economy/Russia-courts-Kenya-for-new-business--trade-deals/3946234-5304344-njw0b3/
878360357,20181009,201810,2018,2018.7644,KEN,KENYA,KEN,"Nairobi, Nairobi Area, Kenya",KE,https://www.businessdailyafrica.com/economy/Russia-courts-Kenya-for-new-business--trade-deals/3946234-5304344-njw0b3/
878360358,20181009,201810,2018,2018.7644,KENGOV,UHURU KENYATTA,KEN,"Nairobi, Nairobi Area, Kenya",KE,https://www.businessdailyafrica.com/economy/Russia-courts-Kenya-for-new-business--trade-deals/3946234-5304344-njw0b3/
878360359,20181009,201810,2018,2018.7644,KENGOV,UHURU KENYATTA,KEN,"Moscow, Moskva, Russia",RS,https://www.businessdailyafrica.com/economy/Russia-courts-Kenya-for-new-business--trade-deals/3946234-5304344-njw0b3/
878360360,20181009,201810,2018,2018.7644,KENGOV,UHURU KENYATTA,KEN,"Moscow, Moskva, Russia",RS,https://www.businessdailyafrica.com/economy/Russia-courts-Kenya-for-new-business--trade-deals/3946234-5304344-njw0b3/
878360361,20181009,201810,2018,2018.7644,MIL,MILITARY,,"Oromo, Amara, Ethiopia",ET,https://af.reuters.com/article/topNews/idAFKBN1WO11Z-OZATP
878360362,20181009,201810,2018,2018.7644,MIL,MILITARY,,Eritrea,ER,https://af.reuters.com/article/topNews/idAFKBN1WO11Z-OZATP
878360363,20181009,201810,2018,2018.7644,REB,REBELLION,,United States,US,https://howtospendit.ft.com/art-philanthropy/207242-gavin-turk-we-are-what-we-throw-away
878360364,20181009,201810,2018,2018.7644,REB,REBELLION,,"Amsterdam, Noord-Holland, Netherlands",NL,https://howtospendit.ft.com/art-philanthropy/207242-gavin-turk-we-are-what-we-throw-away
878360365,20181009,201810,2018,2018.7644,USA,UNITED STATES,USA,"Yerevan, Yerevan*, Armenia",AM,https://www.dailymail.co.uk/news/article-7553625/Kim-Kardashians-support-Making-Murderer-convict-Brendan-Dassey-make-no-difference.html
878360366,20181009,201810,2018,2018.7644,USA,UNITED STATES,USA,"Manitowoc County, Wisconsin, United States",US,https://www.dailymail.co.uk/news/article-7553625/Kim-Kardashians-support-Making-Murderer-convict-Brendan-Dassey-make-no-difference.html
878360367,20181009,201810,2018,2018.7644,USAJUD,THE US,USA,"Manitowoc County, Wisconsin, United States",US,https://www.dailymail.co.uk/news/article-7553625/Kim-Kardashians-support-Making-Murderer-convict-Brendan-Dassey-make-no-difference.html
878360368,20181009,201810,2018,2018.7644,USAJUD,UNITED STATES,USA,"Tennessee, United States",US,https://www.dailymail.co.uk/news/article-7553625/Kim-Kardashians-support-Making-Murderer-convict-Brendan-Dassey-make-no-difference.html
878360369,20181009,201810,2018,2018.7644,USAJUD,THE US,USA,"Manitowoc County, Wisconsin, United States",US,https://www.dailymail.co.uk/news/article-7553625/Kim-Kardashians-support-Making-Murderer-convict-Brendan-Dassey-make-no-difference.html
878360370,20181009,201810,2018,2018.7644,USAJUD,THE US,USA,"Manitowoc County, Wisconsin, United States",US,https://www.dailymail.co.uk/news/article-7553625/Kim-Kardashians-support-Making-Murderer-convict-Brendan-Dassey-make-no-difference.html
878360371,20181009,201810,2018,2018.7644,USAJUD,THE US,USA,"Wisconsin, United States",US,https://www.dailymail.co.uk/news/article-7553625/Kim-Kardashians-support-Making-Murderer-convict-Brendan-Dassey-make-no-difference.html
878360372,20190909,201909,2019,2019.6822,,,,"North Carolina, United States",US,https://www.djournal.com/opinion/lena-mitchell-moral-revival-tour-set-for/article_58e34302-f80c-55de-a530-afe1f56e1592.html
